ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
Joares,Atlantic,Male,Adult,4.52,8.9,0.27,59,19,32,8.1,0,0.081,1.62,0.081,0.486,5.832,6.318,398,11,39,7,7.14,,53.04,101,18,9.213,3.1598,,,,0.9831,92,24,68,,15.39,5.13,10.26,0.6576,135,3.3,2.95,0.646,99,9.129,217,,
Robinho,Atlantic,Male,Juvenile,6.74,10.3,0.325,48,15.3,31.7,6.9,0.138,0,3.657,0.138,0,2.967,,148,14,87,7,3.57,5.948,79.56,341,45,8.6025,3.7555,,,,0.339,78,23,55,0.4,11.97,3.42,8.55,0.1644,136,3.2,2.15,1.4535,111.6,11.993,1,,
Luizinho,Atlantic,Male,Sub-adult,,,,,,,,,,,,,,,,,,,7.76475,,,,,,3.156433,,,,,55.2,,,,,,,,,,,,,,,,
Marinho,Atlantic,Male,Sub-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joao,Atlantic,Male,Sub-adult,,,,,,,,,,,,,,,,,,,7.76475,,,,,,4.390827,,,,,70.3,,,,,,,,,,,,,,,,
Gatinho,Atlantic,Male,Sub-adult,3.5,7.3,,60,20,34,7.7,0.077,0,2.387,0.154,0.616,4.466,5.082,238,10,81,5.7,11.067,41.636,88.4,646,10,4.44,2.9008,1.554,,,0.3955,76,22,54,,10.26,3.42,6.84,0.4932,133,5.2,1.85,1.2274,115.9,15.752,1.4,,
Kelly,Pantanal,Female,Adult,,,,,,,,,,,,,,,,15,67,17,4.641,23.792,114.92,82,6,5.994,2.5123,1.5022,0.777,0.2331,0.5085,67,21,46,0.4,2.394,0.171,2.223,0.6576,128,4.7,2.225,1.4212,94,15.573,,,
SoniaWestminster,Pantanal,Female,Adult,2.71,,0.35,,,,5.162,0,0,2.431,0.049,0,2.682,2.682,,17,102,23,8.211,17.844,123.76,192,14,7.77,3.8591,1.8389,,0.1036,0.2034,60,19,41,0.4,2.223,,2.223,0.4521,141,3.2,2.275,1.7442,101,10.024,,,
RitaFleury,Pantanal,Female,Adult,4.61,10.7,0.32,69.4,23.2,33.4,,0.023,0,1.932,0.161,0,0.184,0.184,221,31,62,18,3.57,5.948,79.56,450,9,7.437,3.108,1.7871,1.0878,0.2331,0.4859,66,14,52,0.2,5.13,1.71,3.42,0.6576,133,3,2.25,0.8075,93,9.666,382,,
RitaFleury,Pantanal,Female,Adult,4.9,13.3,0.44,89.7,27.1,33.1,11.05,0,,2.763,0.221,0,8.067,8.067,,21,69,16,4.284,11.896,97.24,100,11,4.4955,4.4548,,0.8547,0.1036,0.226,62,11,51,0.2,5.301,0.684,4.617,0.6987,128,3.4,2.375,0.9044,94,11.814,228,,
RitaFleury,Pantanal,Female,Adult,,,0.32,,,,6.4,0.64,,1.472,0.192,0,4.096,4.096,,,51,14,3.213,23.792,106.08,56,7,9.213,2.9785,2.0202,0.5698,0.3885,0.8249,,13,,0.2,3.762,0.684,3.078,0.7398,137,4.1,,0.8075,101,13.067,133,,
RitaFleury,Pantanal,Female,Adult,5.4,11.1,0.34,62.9,20.5,32.6,7.8,0,0,2.808,0,0.234,4.758,4.992,186,20,63,15,5.355,5.948,88.4,83,13,4.7175,2.6159,1.8907,0.8806,0.1554,0.3503,66,19,47,0.4,7.695,1.881,5.814,0.5754,135,3.2,2.45,0.7752,97,18.795,137,,
RitaFleury,Pantanal,Female,Adult,5.61,,0.34,60.6,,,10.3,,,,,,,,,19,76,19,4.998,5.948,79.56,161,9,5.328,3.0044,2.4087,0.518,0.0777,0.1695,72,19,53,0.3,,,,,129,3.2,2.475,0.8721,,,374,,
Dora,Pantanal,Female,Adult,4.65,9.6,0.303,65.1,20.6,31.6,10.5,0,0,1.89,0.21,0.105,8.295,8.4,273,18,86,14,5.712,17.844,132.6,150,12,6.3825,3.885,2.9785,0.6734,0.2331,0.5085,61,13,48,0.2,6.84,1.71,5.13,0.6576,139,3.1,2.1,1.0659,104,,120,,
Sy,Pantanal,Female,Adult,4.53,8.8,0.257,56.7,19.4,34.2,,0.25,0,1,0.025,0.125,1.1,1.225,40,16,,16,5.355,11.896,132.6,101,11,4.662,,3.0821,,0.4144,0.9379,64,12,52,0.2,4.788,0.342,4.446,0.6165,138,4.1,2.6,0.8398,102,15.036,123,,
